Case,Recommended Solution
"Problem:
Our client is a private equity firm which operates primarily in the automotive industry.
They want us to investigate whether they should increase their portfolio in the sensor
market? Also what criteria should be used by the client to identify target companies?
Information To Be Provided:
• Market potential :
• Electronics content in automotives will keep growing and is expected to represent
17% of total purchased materials in an average vehicle by 2006.
• Sensors will become a more and more important part of the automotive
electronics content — according to a previous study conducted by us, we estimate
they will represent approximately $150 on average per vehicle by the year 2005
• Global growth potential beyond automotive e.g., aerospace, semiconductors,
medical devices and consumer electronics. Automotive and Aerospace being the
biggest growth areas
• NPV analysis: To operate a company in sensor market requires an recurring
investment of $10M, $11M and 12M resp. starting in year 0,1, 2. Our client has
done back of the envelope cash flow analysis that show that they can expect a
cash flow of $12M after the first year growing at a rate of 5%. Assume a three
year outlook is sufficient to make a decision if the client should go ahead with the
investment. Using this data, determine if the client should go ahead with the idea
of investing in the sensor market. Assume cost of capital=10%
• Key demand drivers: Increasing consumer demand; government regulation for
safety, environmental, and comfort in automotive.
• Customer buying criteria: The OEMs are the customers of sensor manufacturers
and they place a high value on leading-edge technology as electronic systems are seen
as a source of differentiation.
• Competition: The sensor market is extremely fragmented — leading sensor
companies are aggressively using acquisitions and partnerships to grow by expanding
their product, industry, geographic footprints and/or acquire promising technologies.
• Cost Structure: Being in the sensor business requires significant continuing
investments in terms of infrastructure and technology. However it is high margin
business and is likely to remain so for the next 4-5 years.","Solution:
The data provided in this case clearly presents a very positive picture of the sensor
market. The real answer lies in articulating and structuring the decision criteria for an
acquisition target for our client. The interviewee should be able to quickly highlight 2 success factors for sensor companies i.e. Profit growth potential of a company and the fit
with existing portfolio
Profit/Margin Growth Potential:
• What market segments is the company playing in? What is the growth potential of
these market segments?
• What geographies and product and services are being addressed by the company
and the future growth potential of each?
• Does the company have strong existing customer relationships?
• Technology Leadership: What is the technology focus of the company? What are
the R&D investments? How many patents are owned by the company? Etc.
• Present Value estimation using the due diligence done by the client on a
representative company in the sensor market revealed a positive return at the end
of three years.
Year 0 1 2 3 PV
Investment($M) 10 11 12 0 29.92
Cash flow ($M) 12 12.6 13.23 31.26
Net($M) 1.34

• Fit with portfolio: To what extent can we add
value to this company given the companies in
our portfolio

A better answer will also highlight the advantages and disadvantages of moving into this
market to the client in terms of the following:
Advantages:
• Access new technologies that can be potentially used by other portfolio
companies
• Expand beyond automotive industry to garner higher buy-out multiples upon exit
• Diversification of existing portfolio (currently only in automotive)
• Potential to establish industry leadership since the market is fragmented currently
• Enlarging size of entities dealing with OEM customers
Disadvantages:
• Likely expensive acquisition
• Likely significant investment required to stay competitive (continuing R&D to
invent latest sensor technologies for differentiation with competitors)
• Learning curve on managing sensor business
• Higher risks (i.e., relatively long lead time from R&D to market)"
"Case Scenario
Our client has had flat sales and declining profits for the last 3 years. The CEO believes
that high margin service businesses built on existing core competencies are the answer to
his problem.
Key Questions
From a Value Chain perspective, how would you assess whether or not there are
opportunities to build sustainable new service businesses? Develop some potential
business models based on your assessment.","Possible Recommendations / Approaches
Candidate should be able to dissect the value-chain and identify procurement as a core
competency.
One core competency of the company is the procurement department with its world-class
processes and personnel. It also has access to 2000 buyers that work for its parent
company.
The company has strong customer relationships with large manufacturing companies
such as Caterpillar, John Deere, etc.
Large manufacturing companies usually buy several hundred components (from around
500 suppliers), but build strategic relationships including electronic linkages with the top
20 suppliers.
Significant cost savings have been realized through these strategic relationships, but
extending them beyond the top 20 suppliers is not cost-effective.
Case Wrap Up
In this scenario Deloitte Consulting recommended a new business model based on the
client’s procurement competency in which it will manage suppliers that fall below the top
20 for its major strategic customers. The client leverages its web-enabled electronic
linkages to reduce costs and streamline the procurement process for components
purchased from the less-than-top-20 suppliers. The business is currently in the planning
phase."
"Case Scenario
The client is a $250 million Performance Chemicals division of a $7 billion Specialty
Chemicals Company.
The CEO of the parent company has set a “growth agenda”. He believes that his company
can become the fastest growing chemical company (moving from 3-4% historical growth
to 10-15% growth) and has asked the business units to develop and present growth
strategies to him.
Performance Chemical’s business manager, like many other managers in the company,
does not believe that there is significant untapped potential in the markets served by his
unit. He has approached Deloitte Consulting for strategic advice.
Key Questions
How would you go about building a case for whether or not Performance Chemicals
division can grow at a 10%+ per annum rate? How will you approach this problem?
Develop potential growth strategies and recommendations for the Performance
Chemicals management team.","Possible Recommendations / Approaches & Key Issues That Should be Covered
Consider Market Issues (Market Size, Customers, Competitors)
What is the expected growth rate of the existing business? All the 6 businesses have been
growing at 3-4% for the last 5 years. This is the same as the average growth rate of the
markets served.
What are some of the products sold by this division? Performance Chemicals division
sells asphalt additives, sodium chemicals, paper pulp bleaching solutions etc.
How would you describe the competitive environment? All the products have limited
intellectual property protection and are being threatened by global competition.
Commoditization and pricing pressures are constraining the growth of these businesses.
It is clear that the company has to look beyond traditional product strategy to generate
the warranted growth. What are some of the trends you would look for? E.g. outsourcing,
solutions vs. products, product-service bundles etc....
Understand Company Capabilities (i.e., Feasibility)
Are there any cultural impediments to growth? The company has like any other chemical
company focused solely on selling products and has not been seeking growth ideas.
Quote from the Client “We make it by the ton and sell it by the carload” describes the
business thinking at the client.
Probable Growth Strategies
Develop a simple framework to explore growth opportunities. E.g. Growth Spectrum may
include Product Enhancements, New Products, New Markets, New Channels, New
Business Models.
Alternative growth strategies for Performance Chemicals division – e.g., 
• Sell a solution not a product
• Become indispensable to strategic customers
• Become one-stop shop for specialty chemicals
• Vendor managed inventory system as a service to customers
Case Wrap-Up
The Deloitte team performed a growth diagnostic to understand the culture and
infrastructural impediments to growth. It conducted 2-day workshops with each of the
niche businesses to develop alternative strategies using the Valuable Formula
methodology of the strategy practice. Some of the strategies included product-service
bundling, outsourcing, and new markets for the existing technological capabilities. The
preliminary projections indicated the potential of quadrupling the size of Performance
Chemicals group to $1 Billion in 5 years. The client agreed with Deloitte Consulting’s
recommendation and has implemented a subset of the strategies."
"Case Scenario
The client is a provider of wealth advisory services to high-net-worth individuals.
Typical wealth advisory services include: investment strategy and portfolio management,
estate and trust planning, tax planning and preparation, insurance planning, family office
services (e.g., bill payment services) and the like. The client started out as a professional
services specialist to corporate clients, but over time, has successfully expanded into
individual wealth advisory services. Over time, the revenues generated from the wealth
advisory services component of the company grew to over $400M worldwide.
Traditional players in this market are high-end private banks (e.g., JP Morgan), and
boutique financial planners. These players do not offer their own products, but typically
have close partnerships or affiliations with those who do (e.g., mutual fund companies,
insurance companies and brokerage houses).
Within the last 12 months, several disruptive events have occurred in the marketplace.
Large and diversified financial services players are launching aggressive national
marketing campaigns around their wealth advisory services businesses, and the results are
paying off as they begin to capture an alarming share of the market in a short period of
time. In addition, a new, completely different type of competitor has announced its
presence and intent to enter the wealth advisory services market, offering a value
proposition very similar to the client’s. This new concern is well funded, and has some
of the most successful venture capitalists of the day filling the seats on its board of
directors. This new competitor is also causing significant problems for the client; within
the past 3 months, the top five producing partners have left to join this firm, taking their
clients with them, and leaving the client’s geographic presence in a strategically critical
growth area significantly weakened. In addition, the client is finding that its revenues are
decreasing significantly in certain types wealth advisory services they offer.
The client has retained the services of Deloitte Consulting to help them understand what
their strategic response options are, and to recommend the best course of action to follow.
Key Interview Questions
Assume you have just joined the Deloitte Consulting team for this project and today is
the project kick-off meeting. What would be your hypothesis around the root cause of
the client’s issues and what information would you want to look at to determine the best
recommendation for the client? What information do you need to arrive at your
hypothesis? What do you feel are the strategic options facing the client?","The company differentiates itself in the wealth advisory market by offering independent
and objective advice to its clients, recommending only those products and services
warranted by the investment strategy and the client’s particular risk profile. The client
does not form formal partnerships or alliances with product suppliers (e.g., investment
banks and fund managers).
The Client is known worldwide for its expertise in its legacy businesses: corporate tax
preparation & advisory services, as well as audit services. About 75% of its business is
in tax preparation and services, the remaining is in wealth advisory services, but both its
market share and the market itself is growing. As tax preparers and auditors,
independence and objectivity is not only critical, it is required and monitored by the SEC.
The company offers its wealth advisory services using the same model as for tax
preparation (e.g., fee per hour).
While its position as independent and objective differentiates itself vis-à-vis the product
players, it limits the areas it can control in the value chain:
plan  advise  execute  reassess and modify
(determine goals) (develop plan) (based on performance,
and chgs to risk profile)
Due to SEC restrictions, the client is not allowed to execute transactions (e.g., the
purchase of securities, taking custody of funds, etc.); it must advise and recommend only.
Other players, many of them competitors, such as banks, mutual fund companies,
insurance companies, are the ones who are ultimately able to execute. As a result, the
client cannot control who develops relationships with their customers. The key part of
the value chain to control is link between “advise” and “execute” in that controlling the
relationship with the customer is controlling the execution and the quality of the
execution, and blocking or limiting the role of these other players who execute services.
While the client offers and sells a vast portfolio of services to its customers, the amount
of revenues generated from services other than tax preparation and advice has been
declining. (the customer is retreating to purchasing services that the client is branded and
well-known for, seeking investment advisory services from better known names (e.g.,
investment banks) who have entered the market and have aggressive marketing
campaigns).
Understand Competitive shifts: Which competitors are entering the market?
During the past few years, the number of players entering the wealth advisory services
space has grown considerably. Investment banks, mutual fund companies and brokerage
firms have all entered this realm, and many are targeting the affluent segment.
The New Economy is disrupting this market. In addition to investment banks and private
banks entering the market, pure online players such as e*Trade are aligning with
traditional high-end banks (e.g., Northern Trust) to offer their affluent clients online
trading and account monitoring capability. Finally, a new entrant, myCFO.com is a pure
internet play that competes directly with the client in the independent and objective
advice category, but does so without being burdened with the restrictions of being a
public accounting and audit firm (e.g., they are able to strike alliances, partnerships, and
can offer its customers access to invest in venture capital funds).
Why are they entering the market?
Investment banks, mutual fund companies and other diversified financial institutions
(Schwab, AmEx) have heavily invested in IT to support the Internet brokerage and
trading business. They are now leveraging their IT capabilities by expanding into wealth
advisory services, bolstered by offering online customer accounts, where customers can
access their accounts and advisors 24/7. Many are entering into this area because
margins for these services are higher than commissions on trades (brokerage fees), which
are shrinking due to downward pressure brought about by discount online trading options
such as e*Trade. Launch of these premium online customer accounts is being bolstered
by aggressive national advertising campaigns.
Understand Market (and Customer) shifts:
The tremendous wealth creation occurring in the mid to late 90s has created a growing
number of affluent individuals in the United States (“Affluent” = net worth exceeding
$1M). While the market for wealth advisory services to affluent individuals is growing,
the market for independent and objective advice is unclear, because the value placed on
independence and objectivity in this space is unclear. Competitors who are clearly not
objective (e.g., investment banks and mutual fund companies), are positioning its wealth
advisory services as independent and objective. The major question is whether or not the
customer appears to appreciate the difference between a true provider of objective advice,
and those positioning themselves as “pseudo-objective”. Is this critical, single
differentiating factor that separates our client from its larger, better funded and more IT
enabled competitors – valued enough to sustain the business?
Evaluate the Strategic Options available to the client:
Option 1: Exit the wealth advisory services portion of the business (about 25% of overall
revenues, the remainder comes from tax and audit services); Option 2: stay with the
current strategy of offering objective and independent advice but invest to develop an IT
platform to offer an online offering to its clients; Option 3: assess the market for
“independent and objective advice” (e.g., evaluate whether this attribute is strategically
sound as the core differentiating attribute).
Case Wrap-Up
STRATEGIC OPTIONS: The Deloitte Consulting Team recommended several options:
• Exit the business;
• Stay in the business and invest incrementally to remain competitive (e.g., expand
existing practices, bring in more experienced hires);
• Stay in the business and aggressively invest to develop an IT-based customer channel
• Spin off the business from the core business of tax and audit and pursue more
aggressive alliance and JV strategies.
Choosing the option involves addressing the central key issue: what is the market for
independent and objective advice? We recommended the client address this issue before
making a decision on the option to pursue:
Deloitte Consulting recommended that the client initiate a conjoint analysis study to
determine the relative value placed on this attribute vs. cost and other attributes.
In addition, Deloitte Consulting examined how, as a public accounting firm, is it possible
to exert more control over the execution portion of the value chain.
Deloitte Consulting recommended that the client initiate a developmental program in
house to mentor and develop client service professionals to become “Most Trusted
Advisors” – deepening the relationship with current clients to sell the full scope of wealth

advisory services (not just tax services). In doing so, the client became a more customer-
centric organization, focusing on serving the specific and evolving needs of its customer

base."
"Problem:
The client is a warehouser that purchases a range of telephony technologies (simple and
complicated) from original manufacturers, and then sells them to a group of resellers,
who in turn sell them to end consumers.
Manufacturer  CLIENT  Reseller  End Consumer
The reseller market can be divided into Corporate (largest), Value-Added (medium), and
E-tailer (smallest) segments. Our client has experienced eight quarters of declining
profit. Attempt to answer why and provide recommendations to reverse this trend.
If Asked for Market Information:
The client is the largest company in the industry, with a number two competitor almost as
large and several smaller players. There have been no new market entrants in recent
years and all firms sell at industry-wide prices. The industry can be divided exclusively
into three segments, for which the following data exist:
2000

Market
Size
($ MM)
Client
Unit
Sales ($)

Industry
Avg.
Price ($)
2002

Market
Size
($ MM)
Client
Unit
Sales ($)

Industry
Avg.
Price ($)
Corporate 20 1,000,000 5,000 Corporate 15 1,000,000 3,000

Value-
Added

45 1,500,000 10,000 Value-
Added

40 1,250,000 8,000
E-tailers 10 2,500,000 2,000 E-tailers 5 2,000,000 1,000","Solution:
The calculations from the above table should lead the interviewee to the following
conclusions:
• The overall industry has shrunk, both on a price and volume basis (“it’s a bad
business to be in”)
• The client’s overall market share has shrunk from roughly 33% to 25%
• Value-added is the largest segment and client has lost the most market share in it
The falling prices can be interpreted to mean that a price war has begun in the industry,
perhaps due to short-sighted competitive responses to new technologies. The falling
volume can be interpreted to mean that the client and its competitors are getting cut out of
the value chain, as manufacturers have begun to sell directly to resellers and end
consumers.
Based on the available data, deteriorating metrics across the board suggest that the
industry is mature and rapidly approaching obsolescence. Absent novel opportunities for
differentiation, there is little that the client can do to return to profitability under these
market conditions. Recommendations should recognize this reality and likely address
options for exiting the industry via diversification, firm sale, and/or closure."
"Problem:
Our client is a US bus transport operator maintaining routes between cities. The company
has lost money for the past several years and over-operated routes as well as recent route
additions are suspected to be responsible. A new CEO has now taken charge and
determined that the company needs to aggressively cut costs in order to return to
profitability. How would you approach the problem?
Information To Be Provided If Requested:
1. Routes are of three types: short, medium or long. More than half of the revenue
comes from long distance trips
2. The company has a substantial real estate investment in terminals
3. The prior CEO focused on top line; instituted plans like anywhere pickup
4. Cash position is tight – the company had a recent brush with bankruptcy
5. Its equipment is quite old
6. The largest cost for a bus company is fuel","Solution:
The candidate is expected to use a profitability framework, and focus more on costs than
other aspects because of the nature of the problem.
Costs can be divided into Fixed and Variable Costs.
Fixed Costs: Buses, stations and other buildings, salaried employees, etc.
Variable Costs: Gas, hourly employees, maintenance (debatable whether variable)
Costs could be cut on possibly all of the above areas. Here are some specific suggestions:
• Determine which routes are profitable and cut back on the unprofitable routes – a
good metric to use would be the load factor
• Change routes in a way that can improve the load factor
• Think about oil contracts to protect against oil price fluctuations
• Lease new equip. to decrease maintenance costs, downtime, and fuel efficiency
• Reconsider “anywhere pickup” and utilize more freeways to improve schedules
and utilization of equipment (bonus point)
The other part of cost cutting would be to compare the services provided to customers
with what they really want. For example, there may be costs involved with extra terminal
services or increasing leg room on new seats that are not valued by consumers.
Essentially, the offering must be realigned with customer needs.
Follow-Up Question: If the company figures out 25 new routes that may be profitable,
how one would go about starting service on those routes.
Possible Response to Follow-Up Question:
The company would need to look at the operating costs per route, competition on each
route, whether the company’s infrastructure could support the new routes, and what
potential customers on these routes want (they are likely not riders on the company’s
existing routes.)"
"Problem Statement:
Your client is a premium brand apparel retailer. In recent years it has noticed a consistent
decrease in market share. How would you structure your analysis?
Information To Be Provided If Requested:
Industry and Market Share:
• Market share has fallen from 15% to 7%
• Competitors consist of premium retailers in the same business segment. There is
growing competition from substitutes and mid-range brands as well
• The market size has been growing steadily
• There have been no recent major consolidations in the industry
Marketing, Sales, and Distribution:
• There have been no substantial changes in the company’s marketing mix or
distribution
• Prices have remained constant
• Competitor marketing / pricing / product mix has remained unchanged
• Distribution is primarily through large retail outlets that stock multiple products
(70%). The balance (30%) is distributed through self-owned outlets and smaller
merchants
• Distributors have recently launched their own premium product brands
• Currently there is no online sales channel
Cost: No recent changes in cost structure or profit margins
Customers
• Customers are not price sensitive
• Customer recognition of the company’s brand is low","Solution:
The company is not diversified enough in terms of its distribution channels. The
company’s principal distribution channel has launched its own set of products in direct
competition with our client’s products. The distributor has control over shelf space and
earns a higher margin on its own products than by selling our clients’ products. Thus it
has been pushing sales of its own products at the cost of our client’s products. To
counteract this, our client must consider diversifying its distribution channel. Possible
options include:
• More self-owned stores
• Creation of an online store
In each case, the client must consider the possible impacts of these new channels on the
company’s brand. In addition, the company must work to strengthen customer pull
through a significant branding program. This would encourage customers to demand
client products through both old and new distribution channels."
"Problem:
Your client is the division of a global consumer products company that produces
toothbrushes. Its product portfolio consists primarily of a “manual” toothbrush that
retails for $3 and an electric “rechargeable” toothbrush that retails for $50. One year ago,
a new competitor introduced a battery-powered electric “spinbrush” that retails for $5 and
now controls 1% of the worldwide toothbrush market. Your client currently lacks a
comparable offering and would like to know whether it should develop a similar product.
Hint: (to be provided only if interviewee struggles significantly with the initial
structuring of the problem)
The client typically views the market in terms of margins and “per customer per year”
metrics.
Information To Be Provided If Specifically Requested:
One year ago, the worldwide market was made up of 80% manual and 20% rechargeable
toothbrushes. The spinbrush’s 1% market share gain has come mostly at the expense of
rechargeable toothbrush sales.
Manual:
• The client’s net profit margin on sales of manual toothbrushes is 66%
• The average manual toothbrush user goes through 4 toothbrushes per year
• On average, 2 toothbrushes per year are given to manual toothbrush users free of charge by their dentists
Rechargeable:
• Rechargeable toothbrushes are sold as two separate components: a “base” that retails for $50 (with a
60% net profit margin) and an associated “head” that retails for $5 (with a 90% net profit margin)
• 1 base and 1 head are needed at all times for the device to work; no other components are compatible
• The average base last 10 years
• The average rechargeable toothbrush user goes through 2 heads per year and purchases bases as needed
Spinbrush:
• No specific cost data is known for the competitor’s spinbrush offering
• Client product development believes it could produce a spinbrush “knockoff” at a cost of $3 per brush
Analysis:
The most effective approach should begin by calculating figures in terms of profit per
customer per year.
Manual:
[2 toothbrushes purchased] x [$3 retail] x [66% profit margin] = [$4 profit per customer
per year]
Rechargeable:
([2 heads purchased] x [$5 retail] x [90% profit margin]) + ([1/10 base] x [50 retail] x
[60% profit margin])
= [$12 profit per customer per year]
Spinbrush:
Assuming production costs would be the same for the client and its competitor:
[2 toothbrushes purchased] x ([$5 retail] – [$3 cost of production]) = [$4 profit per
customer per year]","Solution:
At this point the analysis becomes more qualitative in nature. While the manual and
spinbrush products are similar in terms of profitability, the manual toothbrush addresses
the mass market (80% market share at a $3 retail price point) and is unlikely to lose share
to the spinbrush. However, the rechargeable segment is most profitable for the client and
is clearly threatened by the introduction of the spinbrush. If the client were to respond
with a “knockoff” spinbrush, it would likely hasten the demise of its profitable
operations. Therefore, the client should consider alternative means to respond to the
spinbrush “disruptive technology”."
"Problem:
As an established consultant with McKinsey, you have volunteered your time to critique

business plans at a local entrepreneur’s forum. One plan calls for establishing door-to-
door distribution of an already existing online newspaper in Cologne, the fourth-largest

city in Germany. Without detailed knowledge of how the process would work in
practice, how might you evaluate the feasibility of the proposed distribution plan?
Information To Be Provided If Requested:
No external capital has been provided, and resources only allow for the hiring of 6
newspaper carriers on bicycles, each of whom will be responsible for one square
kilometer within the downtown area of the city.
You should use simplifying assumption that the city is in the shape of a square and the
population is evenly distributed in homes that are an equal distance apart from each other.
Also ignore non-residential areas and assume no “stacking” of homes.
The newspaper is scheduled to be printed and ready for distribution by 4AM each
morning, and must be delivered by 6AM to meet customer requirements.
* Key assumption the interviewee must make (reorient them if they assume something far
from this figure): subscriber homes within the proposed distribution area are on average
10 meters apart from each other.
Analysis:
One way to assess the feasibility of the plan is to calculate how quickly the newspaper
carrier must deliver a single newspaper, and evaluate whether that sounds like a
reasonable figure.
If the interviewee has difficulty conceptualizing the problem, sketch a rough estimation
of this graph to guide his/her thinking:
By assuming that homes are 10 meters apart from each other on average, each side of the
square must contain 100 homes ([1,000 meters] / [10 meters between each home]).
Therefore, a square kilometer contains 10,000 “stops” for the newspaper carrier ([100
“stops” per row] x [100 rows of homes]. Given only 7,200 seconds to complete the job
([2 hours] x [60 minutes per hour] x [60 seconds per minute]), the newspaper carrier
would need to deliver more than one newspaper per second, which is likely impossible.","Solution:
Due to the budget constraints of the business plan, hiring more newspaper carriers is not a
valid option. Two potential solutions include the following:
1) Reduce distribution area – Pare back distribution to reach only the most profitable
potential subscribers
2) Change distribution method – Co-distribute with other publications and/or locate
alternative channels"
"Problem:
Your client is a large music company that developed via a merger several years ago
between an American and a European business. It is currently the #2 player in the market
with 25% market share and $75 billion in revenue. During the last holiday season, the
company suffered an abnormally large degree of stockouts, causing its retailers to be
unable to replenish the CDs on its shelves. What went wrong and what should the
company do to prevent this in the future?
Information To Be Provided If Requested:
The “music industry supply chain” can be structured as follows:
Artists & Content  Physical Production  Distribution  Retailers
Time, communication, and transportation costs must be factored into each “handoff” in the supply chain.
Supply chain phase descriptions:
• Artists & Content: Typically the longest phase, with a wide range of variability in length
• Physical Production: Typically the shortest phase, often a few seconds, managed in-house by the client
• Distribution: Storage and transportation via distribution centers between manufacture and retail locations
• Retailers: Store shelves, hot-selling items have lead times that are short, but not unreasonable
Supply chain relations:
• Artists & Content: No standard operating procedures in place to deal with music content providers
• Physical Production: In-house
• Distribution: Good relations and variability management mechanisms with 150-200 distributor network
• Retailers: Strong relations, good communications, and information sharing with end retailers
Artists & Content Process Detail (if requested):
• Content relationships are often contractual arrangements with recording studios and independent artists
• There are no guidelines to manage “the creative process”, which rarely conforms to set timetables
• There are no standardized decision-making procedures for how and when contacts come up for review
• The above factors contribute to the extremely high rate of variability in this phase of the supply chain","Analysis:
Detailed probing of the “music industry supply chain” should reveal bottlenecks in the
Artist & Content phase and resulting handoff, even when the rest of process is generally
marked by best-in-class procedures. The interviewee should demonstrate understanding
that high process variability and front end delays can lead to supply chain disruptions and
ultimately product stockouts. These factors are particularly likely to cause problems
during periods of high demand, such as the retail holiday season. A detailed supply chain
management process needs to address the unusual circumstances and variability of “the
creative process.”"
